Story Date,Story URL,Headline,Claim URL,What (Claim)
1st Jun 2023,https://www.vishvasnews.com/english/viral/fact-check-viral-picture-of-duck-orchid-is-ai-generated/,Fact Check: Viral Picture of ‘Duck Orchid’ is AI-Generated,https://www.facebook.com/happygardensFB/photos/a.425491137886131/1752392901862608/,This is a flying duck orchid!
6th Jun 2023,https://www.vishvasnews.com/english/politics/fact-check-rahul-gandhi-never-said-he-or-his-family-is-muslim-edited-breaking-plate-viral/,"Fact Check: Rahul Gandhi Never Said He Or His Family Is Muslim, Edited Breaking Plate Viral",https://www.facebook.com/photo?fbid=2454064631427182&set=a.779310992235896,Rahul Gandhi said he is a Muslim
5th Jun 2023,https://www.vishvasnews.com/english/viral/fact-check-no-communal-angle-in-mumbai-headless-body-in-suitcase-case/,Fact Check: No Communal Angle in ‘Mumbai Headless Body in Suitcase’ Case,https://www.facebook.com/TheRIGHTIndianss/photos/a.105009394429682/767296691534279/,This is a case of Love Jihad
5th Jun 2023,https://www.vishvasnews.com/english/viral/fact-check-incomplete-video-of-yogendra-yadav-being-shared-with-misleading-claims/,Fact Check: Incomplete Video of Yogendra Yadav Being Shared with Misleading Claims,https://www.facebook.com/laxman.pai.77/videos/3616827111971241,Yogendra Yadav is a Muslim and his real name is Salim
13th Jun 2023,https://www.vishvasnews.com/english/viral/fact-check-comedian-tiku-talsania-has-not-converted-to-islam-fake-post-viral/,"Fact Check: Comedian Tiku Talsania Has Not Converted To Islam, Fake Post Viral",https://www.facebook.com/reel/799371948234242,Bollywood\'s famous comedian Tiku Talsania has accepted Islam
23rd Oct 2023,https://www.vishvasnews.com/english/viral/fact-check-viral-video-of-australian-fan-chanting-vande-mataram-not-from-world-cup-2023/,Fact Check: Viral Video of Australian Fan Chanting “Vande Mataram” Not from World Cup 2023,https://www.vishvasnews.com/english/viral/fact-check-viral-video-of-australian-fan-chanting-vande-mataram-not-from-world-cup-2023/,Australian fan shouted Vande Matram after beating Pakistan
20th Oct 2023,https://www.vishvasnews.com/english/viral/fact-check-school-book-chapter-about-using-head-for-carrying-weight-is-unrelated-to-bihar-board/,Fact Check: School Book Chapter About Using Head For Carrying Weight Is Unrelated To Bihar Board,https://www.facebook.com/photo/?fbid=6989785214373757&set=a.646215515397457,This is what Bihar government is teaching in schools. Function of head: Lifting weights.
16th Oct 2023,https://www.vishvasnews.com/english/viral/fact-check-2016-video-of-cristiano-ronaldo-falsely-linked-to-israel-hamas-conflict/,Fact Check: 2016 Video Of Cristiano Ronaldo Falsely Linked To Israel-Hamas Conflict,https://www.facebook.com/ibrahim.alsabban/videos/883573429802017,"A Facebook user named Ibrahim Hassun shared this viral video on October 15, claiming that Ronaldo stands with Palestine."
18th Oct 2023,https://www.vishvasnews.com/english/viral/fact-check-agniveer-amritpal-singh-did-not-get-military-honor-due-to-suicide/,Fact Check: Agniveer Amritpal Singh Did Not Get Military Honor Because He Committed Suicide,https://twitter.com/SatyapalmalikG/status/1713113470059807076,"The Central Government is not giving martyr status to Agniveer, due to which Amritpal Singh was not given military honour."
25th Oct 2023,https://www.vishvasnews.com/english/politics/fact-check-pm-modi-did-not-appeal-to-vote-for-congress-viral-video-is-edited/,"Fact Check: PM Modi Did Not Appeal To Vote For Congress, Viral Video Is Edited",https://www.instagram.com/reel/CykmMZGrK0n/,PM Modi appealed to vote for Congress
15th Sep 2023,https://www.vishvasnews.com/english/world/fact-check-old-video-going-viral-with-misleading-claims-linked-to-morocco-earthquake/,Fact-Check: Old Video Going Viral With Misleading Claims Linked To Morocco Earthquake,https://www.facebook.com/100092402475336/videos/834028598376591,"Mosque demolished in Morocco, yet Azaan continues"
9th Oct 2023,https://www.vishvasnews.com/english/politics/fact-check-people-seen-fighting-in-video-were-members-of-tdp-fake-claim-regarding-jsp-viral/,"Fact Check: People Seen Fighting In Video Were Members Of TDP, Fake Claim Regarding JSP Viral",https://www.facebook.com/jashuva.maxwell.9/videos/338438055225968,Fight between TDP and JSP leaders in Kakinada
1st Sep 2023,https://www.vishvasnews.com/english/viral/fact-check-video-from-2018-bengali-film-going-viral-as-glimpse-of-shahrukh-khan-starrer-jawaan/,Fact Check: Video From 2018 Bengali Film Going Viral as glimpse of Shahrukh Khan starrer ‘Jawaan’,https://www.facebook.com/rajuahmad69/videos/1525471158269408,Jawan Leaked Action Scene
5th Oct 2023,https://www.vishvasnews.com/english/viral/fact-check-crystallised-book-artwork-being-claimed-as-holy-quran-recovered-from-deep-sea/,Fact Check: Crystallised Book Artwork Being Claimed As Holy Quran Recovered From Deep Sea,https://www.facebook.com/groups/muslimshahzadi/posts/3668515240095757/?__cft__[0]=AZVdRL8_iwW7U2Z1zlOnC5dofBmg-pIFSHTqo6rmIes7ZxuanS0pi8FNF5fRlqz7n6GIRxpd7xmmnVZllSbzQg_NqPoixcSma6Z6OQXqD7GcxL-xt4UZys2oTKAzX9fwrYsNRnW7CWVDSLUUGBYHGEV-&__tn__=%2CO%2CP-R,"This Quran was found in the deep sea, still intact"
26th Sep 2023,https://www.vishvasnews.com/english/viral/fact-check-this-image-of-pm-modi-emerging-from-the-group-of-trees-is-ai-generated/,"Fact Check: This Image Of PM Modi, Emerging From The Group Of Trees, Is AI-Generated",https://www.facebook.com/RajannaKoravi/posts/796078909193223,Group of trees look like the image of Prime Minister Modi
25th Sep 2023,https://www.vishvasnews.com/english/viral/fact-check-old-video-of-snowfall-in-jk-being-passed-off-as-recent/,Fact Check: Old Video Of Snowfall In JK Being Passed Off As Recent,https://www.facebook.com/mir.bilal.967/videos/1394126924505350,"Fresh snowfall in Daksum Kokernag on September 22, 2023"
28th Sep 2023,https://www.vishvasnews.com/english/viral/fact-check-kareena-kapoor-khan-not-on-x-viral-post-on-cricket-shared-by-fan-page/,"Fact Check: Kareena Kapoor Khan Not On X, Viral Post On Cricket Shared By Fan Page",https://www.facebook.com/permalink.php?story_fbid=pfbid0srt3AAC2X1b5LogJpuJB4CPbokrHCeYBvVMB4MSrDEzuy9zEXo2er4KRdZf39pwEl&id=100091983862956,"Kareena Kapoor Khan posts about Shami, Siraj and Wicket Jihad on X"
20th Sep 2023,https://www.vishvasnews.com/english/viral/fact-check-viral-video-of-robot-playing-badminton-with-humans-is-edited-2/,Fact Check: Viral Video Of Robot Playing Badminton With Humans Is Edited,https://www.facebook.com/100054374836655/videos/1067439430889085,Real footage of Robot vs. Human in Badminton
13th Oct 2023,https://www.vishvasnews.com/english/viral/fact-check-couple-at-concert-escaped-safely-after-hamas-attack-on-israel-viral-claim-misleading/,"Fact Check: Couple At Concert Escaped Safely After Hamas Attack On Israel, Viral Claim Misleading",https://www.facebook.com/permalink.php?story_fbid=pfbid02fsmW1qPt16LVLonMYikyodMpVq3rnq8GE4xKtTyRZyNBxGMLGMZiYLVHqR2RyArVl&id=100084244321671,The viral picture is of the couple Amit and Neer attending the music festival. Both died in the attack on Israel.
14th Sep 2023,https://www.vishvasnews.com/english/politics/fact-check-edited-clip-from-rahul-gandhis-old-interview-viral-with-misleading-claim/,Fact Check: Edited Clip From Rahul Gandhi’s Old Interview Viral With Misleading Claim,Facebook group ‘Senior Citizens Group <60yrs++++++,"when Rahul Gandhi was confronted with a challenging question during an interview, he remained silent and could not answer."
7th Aug 2023,https://www.vishvasnews.com/english/viral/fact-check-post-by-parody-account-of-kareena-kapoor-shared-with-misleading-claim/,Fact Check: Post By Parody Account Of Kareena Kapoor Shared With Misleading Claim,https://www.facebook.com/photo/?fbid=1041299646897256&set=a.101444550882775,Kareena Kapoor expressed her opinion on the recent situation in the country by tweeting
11th Sep 2023,https://www.vishvasnews.com/english/ai-check/fact-check-this-video-claiming-to-show-mukesh-ambani-is-a-deepfake/,Fact Check: This Video Claiming To Show Mukesh Ambani Is A Deepfake,https://www.facebook.com/100093643596829/posts/998429268065608/,Mukesh Ambani endorsed an investment scheme
4th Jul 2023,https://www.vishvasnews.com/english/viral/fact-check-viral-image-of-three-story-bus-in-ayodhya-created-using-artificial-intelligence-shared-with-misleading-claim/,"Fact Check: Viral Image Of Three-story Bus In Ayodhya Created Using Artificial Intelligence, Shared With Misleading Claim",https://www.facebook.com/photo/?fbid=850216603104545&set=gm.953087472618782&idorvanity=481814943079373,This five-star bus to ferry visitors from Ayodhya airport to Janmabhoomi soon
11th Oct 2023,https://www.vishvasnews.com/english/viral/fact-check-sunil-gavaskar-did-not-criticise-bcci-over-poor-management-of-cricket-world-cup-2023/,Fact Check: Sunil Gavaskar Did Not Criticise BCCI Over Poor Management Of Cricket World Cup 2023,https://www.facebook.com/pawan.dixit.7927/posts/pfbid02URLEj6fkHVNuwFRLebABi3fBz9Vox6VvnpLrxiir841wh9VR9rz5M5GfQoNBCdttl,Former Indian cricketer Sunil Gavaskar has criticized BCCI regarding Cricket World Cup 2023.
29th Sep 2023,https://www.vishvasnews.com/english/politics/fact-check-edited-photos-of-rahul-gandhi-with-badge-number-420-going-viral/,Fact Check: Edited Photos Of Rahul Gandhi With Badge Number 420 Going Viral,https://www.facebook.com/permalink.php?story_fbid=pfbid0xDpALwzff9VyEYRu81VYRuy4uXWTh1zrTauZ8WfobqoBVjLwgCPLAt2X2dEUVReLl&id=100005568338243,Rahul Gandhi seen wearing a red shirt with the number 420 on his badge
8th Sep 2023,https://www.vishvasnews.com/english/politics/fact-check-old-video-of-prime-minister-modi-circulating-with-misleading-claims-about-india-alliance/,Fact Check: Old Video Of Prime Minister Modi Circulating With Misleading Claims About INDIA Alliance,https://www.facebook.com/permalink.php?story_fbid=pfbid021MdxqBn9CnwRzwC1WBLXAQ9BjjtJbxtZP2xTTGYYkh32NvUeg52S6QKYUsZMvmVhl&id=100027466985904,PM Narendra Modi sought votes for India Alliance
22nd Sep 2023,https://www.vishvasnews.com/english/viral/fact-check-viral-photos-of-pm-modi-and-us-president-joe-biden-are-ai-generated/,Fact Check: Viral Photos Of PM Modi And US President Joe Biden Are AI-Generated,https://www.facebook.com/groups/740544566322820/posts/2071667653210498,PM Modi and the US President are walking wearing kurta-pajama.
10th Sep 2023,https://www.vishvasnews.com/english/politics/fact-check-claim-of-getting-three-years-of-imprisonment-for-misbehaving-with-mosque-madarasa-staff-in-rajasthan-is-fake/,"Fact Check: Claim Of Getting Three Years Of Imprisonment For Misbehaving With Mosque, Madarasa Staff In Rajasthan Is Fake",https://www.facebook.com/permalink.php?story_fbid=pfbid0oZKq16QpqoDKiW9zsqSEcRMWiKXMTczAxGL1SsFe3JDinbqqFUgwx9NkdntKYmK6l&id=100076350603994,"The Rajasthan government has made a new law, under which misbehavior with the staff of a mosque or madrasa can lead to a punishment of three years."
25th Aug 2023,https://www.vishvasnews.com/english/viral/fact-check-edited-video-of-earth-going-viral-in-the-name-of-chandrayaan-3-mission/,Fact Check: Edited Video Of Earth Going Viral In The Name Of Chandrayaan-3 Mission,https://twitter.com/wasimkhan0730/status/1693465129910935983,Video of Earth recorded from the moon during the Chandrayaan-3 mission.
23rd Aug 2023,https://www.vishvasnews.com/english/viral/fact-check-bull-fight-video-going-viral-with-misleading-claims/,Fact Check: Bull Fight Video Going Viral With Misleading Claims,https://www.facebook.com/100008929158412/videos/170667749316255/,This video of auto overturning in stray cattle fight is from UP
21st Aug 2023,https://www.vishvasnews.com/english/entertainment/fact-check-pakistan-zindabad-slogans-were-not-raised-during-gadar-2-show-in-bareilly-cinema-hall-viral-claim-fake/,Fact Check: ‘Pakistan Zindabad’ Slogans Were Not Raised During Gadar 2 Show In Bareilly Cinema Hall; Viral Claim Fake,https://twitter.com/Starboy2079/status/1691020685919842306,Muslims raised slogans of Pakistan Zindabad during the Gadar 2 show
8th Sep 2023,https://www.vishvasnews.com/english/viral/fact-check-theres-no-bus-route-420-in-bengaluru-viral-photo-mocking-politicians-is-edited/,"Fact Check: There’s No Bus Route 420 in Bengaluru, Viral Photo Mocking Politicians Is Edited",https://www.facebook.com/photo/?fbid=299048279520101&set=a.106597995431798,Bus Route 420 in Bengaluru
18th Aug 2023,https://www.vishvasnews.com/english/health/fact-check-claim-of-excessive-usage-of-earbuds-earphones-could-cause-facial-paralysis-is-false/,"Fact Check: Claim Of Excessive Usage Of Earbuds, Earphones Could Cause Facial Paralysis Is False",https://www.facebook.com/reel/1028250455000277,"Excessive use of earphones or earbuds can lead to deafness, ear infection and pain and stress, but the claim that it causes facial paralysis is false."
6th Sep 2023,https://www.vishvasnews.com/english/world/fact-check-old-video-of-vedic-mantras-recital-in-croatia-passed-off-as-hindu-event-at-the-white-house/,Fact Check: Old Video Of Vedic Mantras Recital In Croatia Passed Off As Hindu Event At The White House,https://www.facebook.com/sudesh.gaur.56/posts/245758191762379/,Shri Rudram Stotram was recited at the White House in America
24th Aug 2023,https://www.vishvasnews.com/english/world/fact-check-nasa-video-based-on-apollo-mission-data-falsely-circulated-as-chandrayaan-3-footage/,Fact Check: NASA Video Based On Apollo Mission Data Falsely Circulated as Chandrayaan-3 Footage,https://www.facebook.com/100079586472042/videos/1269561010428637/,Moon Inside View capture by Chandrayaan-3
22nd Aug 2023,https://www.vishvasnews.com/english/sports/fact-check-viral-claim-about-shooter-rhythm-sangwan-breaking-world-records-in-baku-is-misleading/,Fact Check: Viral Claim About Shooter Rhythm Sangwan Breaking World Records In Baku Is Misleading,https://www.facebook.com/maa.kaladla.50159836/posts/pfbid0WfhhyhHWR1ppHMk74wy1hKr9oFMF6QQSJP4AQNF6xxqbSKzhje6wDCnXZ1GNJ4bnl,India\'s new shooting star Rhythm Sangwan broke the world record at the ongoing ISSF Shooting World Cup in Baku
16th Aug 2023,https://www.vishvasnews.com/english/viral/fact-check-this-image-of-satyajit-ray-posing-with-aston-martin-is-edited/,Fact Check: This Image Of Satyajit Ray Posing With Aston Martin Is Edited,https://www.facebook.com/photo?fbid=1500515507146114&set=a.101698177027861,Ray in 1953! No bond can match his charisma
17th Jul 2023,https://www.vishvasnews.com/english/politics/fact-check-not-vegetable-seller-but-sp-leader-hired-bouncers-to-protest-against-rising-tomato-prices/,Fact Check: Not Vegetable Seller But SP Leader Hired Bouncers To Protest Against Rising Tomato Prices,https://www.instagram.com/p/CuezrXXBHcp/?utm_source=ig_embed&ig_rid=8f6b2b1e-19bb-45f2-a7dc-0f0997c93889,A vegetable seller in UP\'s Varanasi hired bouncers to prevent customers from stealing tomatoes
12th Jul 2023,https://www.vishvasnews.com/english/politics/fact-check-phone-number-launched-to-support-bjp-viral-with-misleading-claim-about-ucc/,Fact Check: Phone Number Launched To Support BJP Viral With Misleading Claim About UCC,https://www.facebook.com/groups/6175888542451256/posts/23910591598554344,Hindus who wish to express their support for the Uniform Civil Code should give a missed call to \'9090902024\'
5th Jul 2023,https://www.vishvasnews.com/english/world/fact-check-videos-of-church-fire-burning-car-yard-unrelated-to-france-violence/,"Fact Check: Videos Of Church Fire, Burning Car Yard Unrelated To France Violence",https://twitter.com/i/status/1676116224210792448,Videos related to France violence
3rd Jul 2023,https://www.vishvasnews.com/english/world/fact-check-viral-video-of-cars-falling-from-building-is-unrelated-to-france-violence/,Fact Check: Viral Video Of Cars Falling From Building Is Unrelated To France Violence,https://www.facebook.com/100014909295087/videos/969220317450796,video of violance in France
28th Jun 2023,https://www.vishvasnews.com/english/viral/fact-check-viral-claim-that-pm-modi-wore-islamic-skullcap-in-egypt-is-false/,Fact Check: Viral Claim That PM Modi Wore Islamic Skullcap In Egypt Is False,https://www.facebook.com/photo?fbid=247800927865052&set=a.104759448835868,PM Modi wore Islamic cap in Egypt
22nd Feb 2023,https://www.vishvasnews.com/english/world/fact-check-viral-video-claiming-huge-crowd-recited-hanuman-chalisa-in-jaipur-is-fake-footage-is-from-pakistan/,Fact Check: Viral video claiming huge crowd recited Hanuman Chalisa in Jaipur is fake; footage is from Pakistan,https://www.facebook.com/100060347808195/posts/914720746642370/,Huge crowd recites Hanuman Chalisa in Jaipur
23rd Jun 2023,https://www.vishvasnews.com/english/politics/fact-check-photo-of-injured-woman-breastfeeding-child-is-unrelated-to-ongoing-manipur-violence/,Fact Check: Photo Of Injured Woman Breastfeeding Child Is Unrelated to Ongoing Manipur Violence,1.67E+18,Photo related to Manipur violance
4th Jan 2023,https://www.vishvasnews.com/english/viral/fact-check-virat-kohli-has-not-announced-his-retirement-from-cricket/,Fact Check: Virat Kohli has not announced his retirement from cricket,https://www.facebook.com/watch/live/?ref=watch_permalink&v=525445706222199,Virat Kohli announces retirement
22nd Jun 2023,https://www.vishvasnews.com/english/politics/fact-check-posts-claiming-nyt-published-article-calling-pm-modi-last-hope-of-earth-are-false/,Fact Check: Posts Claiming NYT Published Article Calling PM Modi ‘Last Hope Of Earth’ Are False,https://facebook.com/story.php?story_fbid=pfbid02E3n94uvS2hJ65q6X5JuVsEZdXoDEkS9vKd1PWro4QXjqSSAbemToyHDJmxZVvFvBl&id=100001614520587&mibextid=Nif5oz,PM Modi\'s photo on the front page of The New York Times.
21st Jun 2023,https://www.vishvasnews.com/english/politics/fact-check-video-of-woman-being-brutally-beaten-up-is-unrelated-to-manipur-violence/,Fact Check: Video Of Woman Being Brutally Beaten Up Is Unrelated to Manipur Violence,https://www.facebook.com/permalink.php?story_fbid=590420026569110&id=100068033528476,Latest video from Manipur violance
23rd Jun 2023,https://www.vishvasnews.com/english/politics/fact-check-photo-from-indian-cricketer-prasidh-krishnas-wedding-going-viral-with-false-claims/,Fact Check: Photo From Indian Cricketer Prasidh Krishna’s Wedding Going Viral With False Claims,https://www.facebook.com/photo?fbid=3399790873595337&set=a.1899780230263083&locale=en_GB,Photograph from the wedding of Finance Minister Nirmala Sitharaman\'s daughter.
19th Jun 2023,https://www.vishvasnews.com/english/viral/fact-check-old-video-of-people-drowning-in-oman-sea-falsely-linked-to-cyclone-biparjoy/,Fact Check: Old Video Of People Drowning In Oman Sea Falsely Linked To Cyclone Biparjoy,https://perma.cc/KTP4-KCMR,Family swept away in sea due to Cyclone Biparjoy
15th Jun 2023,https://www.vishvasnews.com/english/society/fact-check-video-of-car-swept-away-in-water-is-not-from-karnataka-unrelated-to-cyclone-biparjoy/,"Fact Check: Video Of Car Swept Away In Water Is Not From Karnataka, Unrelated To Cyclone Biparjoy",https://www.facebook.com/watch/?ref=search&v=969068050902361&external_log_id=a24619db-0894-4d1e-869b-88b3026a7840&q=It%20is%20Dandeli%20Karnataka%20near%20hubi%20darwad.%20Sometimes%20over%20confidence%20has%20%20to%20pays%20alot,It is Dandeli Karnataka near hubi darwad. Sometimes over confidence has to pays alot
